Ship_Type,Route_Type,Engine_Type,Maintenance_Status,Speed_Over_Ground_knots,Engine_Power_kW,Distance_Traveled_nm,Draft_meters,Weather_Condition,Cargo_Weight_tons,Operational_Cost_USD,Revenue_per_Voyage_USD,Turnaround_Time_hours,Efficiency_nm_per_kWh,Seasonal_Impact_Score,Weekly_Voyage_Count,Average_Load_Percentage
0.3333333333333333,0.3333333333333333,0.5,0.0,0.17266645223162813,0.6253565546277097,0.5033669586587907,0.9138561366593513,0.5,0.9794197369881814,0.967522199709077,0.2546760767153059,0.23096895876746923,0.9684925057546887,0.9163643822154447,0.0,0.87536130812971
0.6666666666666666,0.6666666666666666,1.0,1.0,0.025209641215091283,0.5184879979837942,0.5185333981354593,0.9659829218282315,1.0,0.05755310990185668,0.9666146927511627,0.8776798605138444,0.8544811623537313,0.1359138578575826,0.38594472447229844,0.625,0.8778843885463476
0.3333333333333333,0.3333333333333333,0.0,0.5,0.7166067128304755,0.45943359089267355,0.3123567809762553,0.21992939360244945,0.5,0.06558134559569229,0.8954513601464935,0.3619204322758318,0.623797790206759,0.2854678124051117,0.9065165712262152,1.0,0.9243533199126306
0.0,1.0,1.0,0.5,0.7369810046062827,0.16584660472681978,0.552588536352613,0.6793229251152028,0.5,0.8656977044294077,0.5131443196763956,0.03917537542181243,0.17329050938731935,0.43078889869507536,0.8713802469466697,0.0,0.3237139014037713
0.6666666666666666,1.0,0.0,0.5,0.2490791634503624,0.23569461356967714,0.716076395588748,0.47301434429819433,0.5,0.1079407846346303,0.5669974194305716,0.6590067274490492,0.8696604288563544,0.8799781723836937,0.0834441164242784,0.875,0.6000798740495696
0.6666666666666666,0.3333333333333333,0.5,0.5,0.5742493305001185,0.668861454600879,0.34543339750791363,0.992330305310103,1.0,0.9555559157433494,0.3563349119679476,0.7649256563772915,0.5914055596115435,0.9077562858541043,0.938453342719414,0.75,0.06327349567310603
0.6666666666666666,1.0,0.5,0.0,0.6954802702315891,0.8023425473257468,0.11278042885355569,0.34564280683714255,1.0,0.5855654484307017,0.8666668106887387,0.7256797552517344,0.2838998988262793,0.7291944398686486,0.10300768732968701,0.25,0.16997462811620134
0.3333333333333333,0.6666666666666666,0.0,0.0,0.8999821972224172,0.12562761281902896,0.8557379329535445,0.42856900598039316,0.5,0.13762637556292426,0.6908882692765934,0.4337350671788317,0.6748457036885394,0.4258347278783211,0.9093690126784683,0.625,0.8918198341851347
0.0,0.0,0.5,1.0,0.4870531604277918,0.27144617578549934,0.19463545489569753,0.1001312406654935,0.5,0.9765617342018336,0.6861724041307092,0.4194879753458717,0.04056395078335184,0.6270241996787119,0.2651167436857109,0.875,0.004702257364061824
0.3333333333333333,0.3333333333333333,0.0,0.5,0.8819037253621823,0.8745519749371411,0.7897510376854866,0.6725366873400201,0.0,0.9201145886329785,0.2853058821731888,0.5948819864071256,0.8627304361442235,0.24335464923987138,0.9362953693330441,0.125,0.5889321071160754
0.6666666666666666,0.6666666666666666,1.0,0.5,0.10844882148234036,0.8094104984294659,0.6029112178368126,0.5903906721766429,0.5,0.5543520080928445,0.5904246205919913,0.7361088360166931,0.5945609893939184,0.241324242987924,0.605728745996391,1.0,0.4099502041646761
1.0,1.0,0.0,1.0,0.5500542686412301,0.651994529562172,0.647642536072332,0.6959964692548771,1.0,0.200641865736443,0.9635068361330583,0.7242384065703664,0.6032401153714105,0.8054425748459947,0.44178868809802174,0.375,0.31953297993966734
0.3333333333333333,0.6666666666666666,1.0,1.0,0.014384637297709002,0.439643224901498,0.7440256451138308,0.6140155097646517,0.5,0.17390593826085401,0.9634667983595965,0.7244744208708471,0.8925779642262762,0.33947359446220426,0.04001752809965309,0.25,0.6816844806934264
